Gender,Parental Level of Education,Test Preparation Course,Lunch,Math Score,Reading Score,Writing Score,Total Marks
male,high school,completed,standard,85,82,77,81
female,associate's degree,completed,standard,49,64,70,61
female,high school,none,free or reduced,32,49,40,40
male,high school,completed,standard,84,84,77,82
female,some high school,none,standard,80,85,88,84
male,associate's degree,completed,free or reduced,69,72,72,71
male,associate's degree,completed,standard,78,72,66,72
female,some college,completed,standard,77,84,88,83
male,some college,none,standard,72,67,64,68
female,master's degree,completed,free or reduced,79,90,86,85
female,some college,none,free or reduced,47,60,55,54
male,associate's degree,none,free or reduced,82,74,67,74
female,some high school,none,standard,62,70,67,66
male,bachelor's degree,none,free or reduced,39,39,28,35
female,some high school,none,standard,57,83,74,71
female,some college,none,standard,74,89,83,82
female,some college,none,standard,56,69,66,64
male,associate's degree,none,free or reduced,60,60,58,59
male,some college,none,standard,80,77,73,77
female,some college,none,standard,94,100,98,97
male,some college,none,free or reduced,55,60,56,57
male,master's degree,completed,standard,100,99,96,98
male,associate's degree,none,standard,56,52,43,50
female,bachelor's degree,none,free or reduced,63,82,80,75
male,bachelor's degree,none,free or reduced,76,79,71,75
male,associate's degree,none,standard,88,84,78,83
male,some college,none,standard,80,74,71,75
female,some high school,completed,free or reduced,52,66,65,61
female,associate's degree,completed,free or reduced,69,76,81,75
female,high school,none,standard,59,59,57,58
female,bachelor's degree,completed,free or reduced,62,71,75,69
male,master's degree,none,standard,82,83,79,81
female,associate's degree,none,standard,90,93,93,92
female,high school,completed,free or reduced,75,76,76,76
male,some college,completed,free or reduced,76,75,76,76
male,some college,completed,free or reduced,63,73,70,69
male,some high school,none,standard,60,67,62,63
female,associate's degree,completed,free or reduced,83,86,93,87
female,some high school,none,standard,70,75,80,75
female,master's degree,none,standard,55,60,63,59
female,associate's degree,none,free or reduced,64,75,68,69
female,associate's degree,completed,free or reduced,58,64,68,63
female,high school,none,standard,66,68,69,68
female,high school,completed,free or reduced,69,79,76,75
female,high school,completed,standard,63,88,83,78
male,some college,none,standard,48,56,50,51
female,high school,none,standard,65,65,70,67
female,associate's degree,none,free or reduced,77,90,85,84
male,high school,none,standard,71,60,66,66
male,high school,none,standard,86,90,86,87
male,bachelor's degree,completed,standard,74,79,84,79
male,high school,completed,free or reduced,63,57,61,60
male,high school,none,standard,67,58,56,60
female,associate's degree,none,standard,90,93,97,93
female,some high school,none,free or reduced,46,54,50,50
female,high school,none,standard,100,100,99,100
female,master's degree,completed,standard,81,80,88,83
male,some college,none,standard,66,55,54,58
female,master's degree,none,free or reduced,61,73,72,69
male,bachelor's degree,none,standard,87,80,78,82
female,some college,completed,free or reduced,81,98,92,90
male,associate's degree,none,standard,66,62,64,64
female,bachelor's degree,none,standard,55,64,61,60
female,high school,completed,standard,83,91,88,87
female,some college,completed,standard,49,50,56,52
male,bachelor's degree,completed,standard,68,64,62,65
male,some college,completed,free or reduced,53,65,56,58
male,some college,completed,standard,63,62,60,62
male,high school,completed,free or reduced,40,50,47,46
female,some high school,none,free or reduced,53,59,60,57
male,associate's degree,completed,free or reduced,81,88,82,84
male,bachelor's degree,none,standard,94,91,94,93
female,high school,completed,standard,65,71,81,72
female,high school,none,standard,51,50,47,49
female,some college,none,free or reduced,67,71,75,71
male,some college,none,free or reduced,60,68,64,64
female,bachelor's degree,completed,standard,82,89,93,88
male,high school,none,free or reduced,58,58,58,58
male,bachelor's degree,none,free or reduced,61,62,54,59
female,some college,none,free or reduced,61,79,78,73
male,high school,none,standard,69,68,62,66
female,associate's degree,none,standard,63,57,59,60
female,master's degree,none,standard,90,97,100,96
female,associate's degree,none,standard,59,60,55,58
male,some high school,none,standard,64,69,62,65
male,associate's degree,completed,free or reduced,85,76,75,79
female,bachelor's degree,completed,standard,84,88,89,87
male,high school,none,free or reduced,41,26,30,32
male,high school,completed,standard,86,83,80,83
male,master's degree,none,free or reduced,36,45,31,37
female,associate's degree,none,standard,67,75,74,72
male,some college,none,standard,67,60,56,61
male,some college,none,free or reduced,63,53,53,56
male,some college,completed,standard,53,66,64,61
female,associate's degree,completed,free or reduced,65,78,73,72
male,associate's degree,none,standard,87,82,77,82
male,some college,none,standard,67,67,56,63
female,associate's degree,none,free or reduced,76,90,89,85
male,high school,none,standard,77,72,73,74
female,some high school,none,standard,73,81,78,77
female,high school,none,standard,32,41,37,37
female,some college,completed,standard,74,75,77,75
male,associate's degree,none,standard,59,52,50,54
male,high school,none,standard,58,43,41,47
female,some high school,none,free or reduced,40,52,51,48
male,associate's degree,completed,standard,68,72,73,71
female,high school,none,standard,37,46,49,44
male,bachelor's degree,completed,free or reduced,62,77,72,70
female,master's degree,none,standard,78,74,82,78
female,high school,completed,free or reduced,49,72,76,66
female,associate's degree,completed,free or reduced,52,62,68,61
male,some college,completed,free or reduced,59,62,63,61
female,associate's degree,none,standard,66,73,71,70
male,associate's degree,none,standard,61,40,44,48
female,bachelor's degree,completed,free or reduced,51,65,66,61
female,associate's degree,none,standard,67,64,67,66
male,some college,none,free or reduced,43,42,47,44
female,associate's degree,completed,standard,74,82,87,81
female,some college,completed,free or reduced,39,57,51,49
male,master's degree,completed,standard,65,69,70,68
male,some high school,none,free or reduced,74,73,70,72
male,associate's degree,none,free or reduced,61,63,60,61
male,bachelor's degree,completed,free or reduced,62,65,64,64
female,some high school,none,standard,45,48,48,47
female,high school,completed,standard,68,70,76,71
male,associate's degree,none,free or reduced,37,41,30,36
female,some high school,none,standard,78,94,91,88
female,high school,none,standard,82,86,86,85
male,some college,completed,standard,71,69,71,70
male,associate's degree,none,standard,83,78,70,77
male,some college,completed,free or reduced,60,70,68,66
female,bachelor's degree,none,standard,62,69,78,70
female,some high school,completed,standard,81,85,88,85
male,master's degree,none,standard,58,61,62,60
female,some college,none,free or reduced,67,84,81,77
female,associate's degree,none,standard,84,96,89,90
male,some college,completed,standard,88,79,84,84
male,associate's degree,none,standard,88,79,78,82
female,associate's degree,none,standard,83,74,74,77
female,associate's degree,none,free or reduced,48,56,55,53
female,some high school,none,standard,88,86,81,85
female,some college,none,standard,74,82,76,77
male,high school,completed,standard,71,62,61,65
female,bachelor's degree,none,free or reduced,61,71,69,67
female,some high school,none,standard,54,56,55,55
male,associate's degree,completed,standard,95,98,96,96
male,some college,completed,standard,63,59,63,62
female,associate's degree,completed,standard,91,88,90,90
male,some high school,completed,standard,76,68,61,68
female,high school,none,standard,54,70,63,62
male,high school,completed,standard,82,75,78,78
male,some college,none,standard,55,49,44,49
male,some college,none,free or reduced,48,40,37,42
female,high school,completed,standard,92,96,97,95
male,some college,none,free or reduced,57,60,62,60
male,master's degree,none,free or reduced,67,57,61,62
female,high school,none,standard,72,79,79,77
male,high school,none,free or reduced,61,61,52,58
female,some high school,completed,free or reduced,40,55,60,52
male,master's degree,completed,free or reduced,60,67,67,65
female,some college,none,standard,71,74,75,73
male,high school,none,standard,63,60,58,60
female,some college,completed,standard,65,78,80,74
female,associate's degree,none,standard,50,56,54,53
male,high school,none,free or reduced,56,55,54,55
male,some high school,none,standard,56,54,52,54
female,associate's degree,none,standard,55,52,56,54
male,some college,none,standard,94,92,85,90
male,some college,none,standard,73,75,67,72
male,some college,none,standard,75,79,78,77
male,high school,none,standard,54,45,48,49
male,bachelor's degree,completed,free or reduced,82,81,83,82
male,high school,none,standard,66,60,53,60
male,master's degree,none,standard,88,94,90,91
female,some high school,none,standard,57,68,70,65
male,master's degree,none,free or reduced,60,49,47,52
male,associate's degree,completed,free or reduced,75,77,73,75
male,associate's degree,none,standard,73,84,83,80
female,some college,none,standard,42,60,56,53
male,associate's degree,none,standard,45,41,36,41
female,some college,none,free or reduced,46,60,57,54
female,some high school,none,free or reduced,43,64,59,55
male,high school,none,standard,64,61,63,63
male,bachelor's degree,none,standard,95,86,80,87
male,bachelor's degree,none,standard,75,70,69,71
female,some college,completed,free or reduced,56,73,74,68
female,some college,completed,standard,78,89,85,84
female,some college,completed,free or reduced,51,69,71,64
female,bachelor's degree,completed,free or reduced,70,90,87,82
female,some high school,none,standard,72,77,76,75
female,associate's degree,none,standard,68,77,81,75
female,high school,none,standard,74,74,70,73
female,master's degree,none,standard,88,96,96,93
female,some college,completed,standard,86,85,86,86
female,master's degree,none,free or reduced,38,54,58,50
male,some college,none,standard,64,65,66,65
male,high school,completed,standard,69,67,73,70
male,associate's degree,none,free or reduced,81,79,75,78
male,some high school,completed,standard,79,74,76,76
male,master's degree,none,standard,75,73,64,71
male,some college,none,standard,80,76,73,76
female,high school,completed,standard,90,100,100,97
male,associate's degree,none,free or reduced,56,61,49,55
female,some college,none,standard,33,47,47,42
female,associate's degree,completed,standard,45,56,53,51
female,bachelor's degree,none,standard,56,67,72,65
male,associate's degree,completed,free or reduced,53,49,54,52
male,some college,none,standard,62,47,52,54
male,high school,none,free or reduced,80,77,69,75
male,bachelor's degree,none,standard,62,58,54,58
male,some high school,completed,standard,99,91,89,93
female,some high school,none,standard,73,83,81,79
female,bachelor's degree,completed,standard,79,93,89,87
male,associate's degree,none,standard,74,69,65,69
male,associate's degree,none,standard,73,67,66,69
male,associate's degree,completed,standard,93,100,96,96
female,some college,completed,standard,56,72,73,67
female,master's degree,completed,free or reduced,80,84,87,84
male,master's degree,none,free or reduced,85,78,71,78
female,some high school,completed,free or reduced,59,81,81,74
female,high school,none,standard,68,77,74,73
male,high school,completed,standard,72,87,88,82
male,high school,completed,free or reduced,66,63,65,65
female,high school,none,standard,66,70,71,69
female,some college,completed,free or reduced,32,37,39,36
male,master's degree,completed,free or reduced,81,83,83,82
female,associate's degree,none,standard,52,50,58,53
female,some college,none,free or reduced,73,84,84,80
female,master's degree,none,free or reduced,79,84,83,82
male,bachelor's degree,none,standard,80,54,53,62
female,some high school,completed,standard,67,81,76,75
male,associate's degree,none,standard,79,76,67,74
female,associate's degree,none,standard,80,87,85,84
male,bachelor's degree,none,free or reduced,65,55,49,56
female,associate's degree,completed,standard,86,100,100,95
male,high school,none,standard,64,74,63,67
female,master's degree,none,free or reduced,55,66,69,63
male,master's degree,none,standard,57,59,58,58
male,some high school,none,free or reduced,60,56,59,58
male,some high school,none,standard,80,76,77,78
male,some college,completed,free or reduced,66,73,66,68
male,master's degree,none,standard,66,67,64,66
male,associate's degree,none,standard,54,59,52,55
female,bachelor's degree,none,free or reduced,41,58,54,51
male,associate's degree,none,standard,79,82,84,82
female,some college,none,free or reduced,73,90,88,84
male,some college,none,standard,79,81,75,78
female,high school,none,standard,81,91,91,88
female,some high school,none,standard,70,64,71,68
female,associate's degree,none,standard,77,86,76,80
male,bachelor's degree,completed,standard,77,82,82,80
female,high school,none,standard,57,59,67,61
female,bachelor's degree,none,standard,95,90,100,95
female,some college,none,standard,64,68,69,67
female,some high school,none,standard,69,67,66,67
female,some college,completed,standard,100,95,100,98
male,some high school,none,standard,73,64,61,66
female,master's degree,none,free or reduced,66,75,77,73
male,some high school,none,free or reduced,61,65,59,62
female,associate's degree,none,free or reduced,50,53,59,54
female,bachelor's degree,none,standard,70,81,83,78
male,some college,none,standard,75,75,72,74
male,high school,none,free or reduced,56,53,50,53
male,associate's degree,none,standard,77,65,66,69
female,some college,none,standard,54,74,72,67
female,some college,completed,standard,75,100,98,91
female,bachelor's degree,none,free or reduced,62,63,65,63
male,master's degree,completed,standard,87,90,94,90
female,bachelor's degree,completed,standard,59,74,79,71
female,associate's degree,none,standard,58,64,62,61
male,high school,none,standard,60,54,45,53
male,associate's degree,completed,standard,72,70,68,70
male,some college,completed,free or reduced,59,56,61,59
female,some high school,none,standard,46,61,57,55
female,high school,completed,free or reduced,49,64,61,58
female,associate's degree,completed,free or reduced,51,78,80,70
male,bachelor's degree,none,free or reduced,83,87,83,84
male,high school,none,standard,54,50,51,52
male,bachelor's degree,none,standard,75,80,73,76
female,associate's degree,none,standard,72,86,85,81
female,bachelor's degree,none,standard,66,71,70,69
female,bachelor's degree,completed,free or reduced,88,98,100,95
female,some college,completed,free or reduced,65,71,70,69
female,some high school,none,free or reduced,53,48,53,51
male,high school,none,standard,65,61,51,59
male,some college,completed,standard,73,55,60,63
female,associate's degree,completed,free or reduced,61,74,67,67
female,some college,none,standard,87,92,92,90
male,high school,none,standard,66,59,54,60
male,some high school,completed,standard,57,51,53,54
male,high school,none,standard,57,51,48,52
male,master's degree,completed,standard,81,79,75,78
male,bachelor's degree,completed,free or reduced,72,77,71,73
female,some high school,none,standard,71,61,69,67
male,associate's degree,completed,standard,71,63,70,68
female,some high school,none,free or reduced,60,70,69,66
female,master's degree,none,standard,82,88,85,85
male,bachelor's degree,none,standard,84,80,78,81
female,associate's degree,none,standard,70,77,81,76
female,some college,none,standard,68,75,70,71
female,some high school,none,standard,69,75,74,73
male,associate's degree,completed,standard,72,71,72,72
female,high school,none,standard,78,78,78,78
male,some college,none,free or reduced,83,76,72,77
male,high school,completed,standard,62,60,55,59
male,some high school,completed,free or reduced,70,70,64,68
female,some college,none,standard,47,54,54,52
female,high school,completed,standard,73,80,79,77
female,some high school,none,standard,80,83,84,82
male,bachelor's degree,none,free or reduced,59,52,54,55
female,associate's degree,none,standard,64,71,68,68
male,high school,none,free or reduced,65,52,54,57
female,some high school,none,standard,86,84,77,82
female,high school,none,standard,78,91,92,87
male,associate's degree,none,standard,63,59,58,60
male,some high school,none,standard,59,56,53,56
male,master's degree,none,standard,95,80,84,86
female,some high school,none,standard,62,74,71,69
male,bachelor's degree,none,standard,82,76,73,77
female,high school,completed,standard,67,85,84,79
female,bachelor's degree,none,free or reduced,53,60,59,57
male,associate's degree,none,free or reduced,80,79,75,78
female,high school,completed,standard,75,83,82,80
male,some college,completed,free or reduced,75,64,65,68
female,master's degree,none,standard,86,90,89,88
male,some high school,none,free or reduced,68,63,60,64
female,bachelor's degree,completed,standard,80,81,86,82
female,associate's degree,completed,free or reduced,56,62,69,62
male,high school,none,standard,55,49,50,51
male,associate's degree,none,standard,68,66,66,67
female,bachelor's degree,none,standard,73,74,74,74
female,associate's degree,completed,standard,74,85,86,82
female,associate's degree,none,free or reduced,71,81,76,76
male,some high school,none,free or reduced,60,52,48,53
female,bachelor's degree,none,free or reduced,58,69,71,66
male,some high school,completed,standard,71,70,63,68
female,some college,none,standard,63,87,85,78
female,master's degree,none,free or reduced,69,85,84,79
